gene	GRACE	Homann	Mitchell	Noble
orf19.10	1	0	0	0
orf19.1010	1	0	0	0
orf19.1011	1	0	0	0
orf19.1016	1	0	0	0
orf19.1026	1	0	0	0
orf19.1029	1	0	0	0
orf19.1031	1	0	0	0
orf19.1033	1	0	0	0
orf19.1040	1	0	0	1
orf19.1042	1	0	0	0
orf19.1047	1	0	0	0
orf19.105	1	0	0	0
orf19.1058	1	0	0	0
orf19.1062	1	0	0	0
orf19.1063	1	0	0	0
orf19.1064	1	0	0	0
orf19.1066	1	0	0	0
orf19.1069	1	1	1	0
orf19.107	1	0	0	0
orf19.1070	1	0	0	0
orf19.1077	1	0	0	0
orf19.1078	1	0	0	0
orf19.1079	1	0	0	0
orf19.1084	1	0	0	0
orf19.1085	1	0	1	0
orf19.1089	1	0	1	0
orf19.111	1	0	0	0
orf19.1110	1	0	0	0
orf19.1111	1	0	0	0
orf19.1112	1	0	0	0
orf19.1114	1	0	0	0
orf19.1115	1	0	0	0
orf19.1119	1	0	0	0
orf19.1124	1	0	0	1
orf19.1125	1	0	0	0
orf19.1130	1	0	0	0
orf19.1136	1	0	0	0
orf19.1137	1	0	0	0
orf19.1142	1	0	0	0
orf19.1149	1	0	0	0
orf19.1152	1	0	0	0
orf19.1153	1	0	0	0
orf19.1154	1	0	0	0
orf19.1155	1	0	0	0
orf19.1156	1	0	0	0
orf19.1159	1	0	0	0
orf19.1160	1	0	0	0
orf19.1161	1	0	0	0
orf19.1164	1	0	0	0
orf19.1167	1	0	0	0
orf19.117	1	0	0	0
orf19.1170	1	0	0	0
orf19.1171	1	0	0	1
orf19.118	1	0	0	1
orf19.1180	1	0	0	0
orf19.1185	1	0	0	1
orf19.1191	1	0	1	0
orf19.1192	1	0	0	0
orf19.1193	1	0	0	0
orf19.1199	1	0	0	0
orf19.1204	1	0	0	0
orf19.121	1	0	0	0
orf19.122	1	0	0	0
orf19.1220	1	0	0	0
orf19.1221	1	0	0	0
orf19.1224	1	0	0	0
orf19.1229	1	0	0	0
orf19.1232	1	0	0	0
orf19.1235	1	0	0	0
orf19.1236	1	0	0	0
orf19.124	1	0	0	0
orf19.1248	1	0	0	0
orf19.1249	1	0	0	0
orf19.125	1	0	0	0
orf19.1250	1	0	0	0
orf19.1251	1	0	0	0
orf19.1254	1	0	0	0
orf19.1261	1	0	0	0
orf19.1264	1	0	0	1
orf19.1267	1	0	0	1
orf19.1270	1	0	0	1
orf19.1275	1	1	1	0
orf19.1279	1	0	0	1
orf19.1280	1	0	0	0
orf19.1282	1	0	0	1
orf19.1283	1	0	1	0
orf19.1285	1	0	0	0
orf19.1289	1	0	0	0
orf19.1291	1	0	1	0
orf19.1295	1	0	0	0
orf19.1299	1	0	0	0
orf19.1304	1	0	0	0
orf19.1305	1	0	0	0
orf19.1306	1	0	0	0
orf19.1308	1	0	0	0
orf19.1310	1	0	0	0
orf19.1311	1	0	0	0
orf19.1324	1	0	0	0
orf19.1325	1	0	0	0
orf19.1333	1	0	0	0
orf19.1335	1	0	0	0
orf19.1339	1	0	0	0
orf19.1341	1	0	1	1
orf19.1345	1	0	0	1
orf19.135	1	0	0	0
orf19.1352	1	0	0	0
orf19.1357	1	0	0	0
orf19.136	1	0	0	0
orf19.1361	1	0	0	0
orf19.1362	1	0	0	0
orf19.1363	1	0	0	0
orf19.1364	1	0	0	1
orf19.1365	1	0	0	1
orf19.1366	1	0	0	0
orf19.137	1	0	0	1
orf19.1375	1	0	0	0
orf19.1378	1	0	0	0
orf19.1381	1	0	0	0
orf19.1382	1	0	0	1
orf19.1386	1	0	0	0
orf19.1387	1	0	0	0
orf19.1388	1	0	0	0
orf19.1390	1	0	0	0
orf19.1394	1	0	1	0
orf19.1395	1	0	0	0
orf19.1402	1	0	0	0
orf19.1404	1	0	0	0
orf19.1413	1	0	0	0
orf19.1415	1	0	0	0
orf19.1419	1	0	0	0
orf19.1421	1	0	0	0
orf19.1422	1	0	0	0
orf19.1427	1	0	0	0
orf19.1434	1	0	0	0
orf19.144	1	0	0	0
orf19.1442	1	0	0	0
orf19.1444	1	0	0	0
orf19.1445	1	0	0	1
orf19.1446	1	0	0	0
orf19.1449	1	0	0	1
orf19.1457	1	0	0	0
orf19.1458	1	0	0	0
orf19.1460	1	0	0	0
orf19.1462	1	0	0	0
orf19.1465	1	0	0	0
orf19.1468	1	0	0	0
orf19.147	1	0	0	0
orf19.1477	1	0	0	0
orf19.1478	1	0	0	0
orf19.1479	1	0	0	0
orf19.1480	1	0	0	0
orf19.1490	1	0	1	1
orf19.1491	1	0	0	0
orf19.1493	1	0	0	0
orf19.150	1	0	0	0
orf19.1504	1	0	0	0
orf19.1509	1	0	1	0
orf19.151	1	0	0	0
orf19.1517	1	0	0	0
orf19.1523	1	0	0	0
orf19.1528	1	0	0	0
orf19.153	1	0	0	0
orf19.1531	1	0	0	0
orf19.1533	1	0	1	0
orf19.1537	1	0	0	0
orf19.1538	1	0	0	0
orf19.1545	1	0	0	0
orf19.1548	1	0	0	0
orf19.1555	1	0	0	0
orf19.1559	1	0	0	0
orf19.1560	1	0	0	0
orf19.1564	1	0	0	0
orf19.1568	1	0	0	0
orf19.1569	1	0	0	0
orf19.1570	1	0	0	0
orf19.1574	1	0	0	0
orf19.1575	1	0	0	0
orf19.1576	1	0	1	0
orf19.1578	1	0	0	0
orf19.158	1	0	0	0
orf19.1580	1	0	0	0
orf19.1583	1	0	0	0
orf19.1585	1	0	0	0
orf19.1586	1	0	0	1
orf19.1587	1	0	0	0
orf19.1589	1	0	1	0
orf19.1591	1	0	0	0
orf19.1598	1	0	0	0
orf19.1601	1	0	0	0
orf19.1606	1	0	0	0
orf19.1607	1	0	0	0
orf19.1608	1	0	0	0
orf19.1609	1	0	0	0
orf19.1614	1	0	1	0
orf19.1618	1	0	0	0
orf19.1622	1	0	0	0
orf19.1626	1	0	0	0
orf19.1631	1	0	0	0
orf19.1632	1	0	0	0
orf19.1633	1	0	0	0
orf19.1634	1	0	0	1
orf19.1637	1	0	0	0
orf19.1639	1	0	0	0
orf19.1641	1	0	0	0
orf19.1646	1	0	0	0
orf19.1648	1	0	0	0
orf19.1649	1	0	0	0
orf19.1658	1	0	0	0
orf19.1659	1	0	0	0
orf19.166	1	1	1	1
orf19.1661	1	0	0	0
orf19.1663	1	0	0	0
orf19.1664	1	0	0	0
orf19.1665	1	0	0	0
orf19.1667	1	0	0	0
orf19.1671	1	0	0	0
orf19.1672	1	0	0	0
orf19.1674	1	0	0	1
orf19.1675	1	0	0	0
orf19.1681	1	0	0	0
orf19.1682	1	0	0	0
orf19.1683	1	0	0	0
orf19.1686	1	0	0	0
orf19.1687	1	0	0	0
orf19.169	1	0	0	0
orf19.1698	1	0	0	0
orf19.1699	1	0	0	0
orf19.1701	1	0	0	0
orf19.1709	1	0	0	0
orf19.171	1	0	0	0
orf19.1719	1	0	0	0
orf19.172	1	0	0	0
orf19.1720	1	0	0	0
orf19.1723	1	0	0	0
orf19.1734	1	0	0	0
orf19.1738	1	0	0	0
orf19.1742	1	0	0	0
orf19.1747	1	0	0	0
orf19.1756	1	0	0	0
orf19.1760	1	0	0	0
orf19.1761	1	0	0	0
orf19.1763	1	0	0	0
orf19.1769	1	0	0	0
orf19.1771	1	0	0	0
orf19.1773	1	1	0	0
orf19.1776	1	0	0	0
orf19.1791	1	0	0	0
orf19.1792	1	0	0	0
orf19.1793	1	0	1	0
orf19.1795	1	0	1	0
orf19.1797	1	0	0	1
orf19.1799	1	0	0	0
orf19.1800	1	0	0	0
orf19.1803	1	0	0	0
orf19.1804	1	0	0	0
orf19.1805	1	0	1	0
orf19.1814	1	0	0	0
orf19.1815	1	0	0	0
orf19.1823	1	0	0	0
orf19.183	1	0	0	0
orf19.1832	1	0	0	0
orf19.1833	1	0	0	0
orf19.1836	1	0	0	0
orf19.1837	1	0	0	0
orf19.1839	1	0	0	0
orf19.1844	1	0	0	0
orf19.1847	1	0	0	0
orf19.1849	1	0	0	0
orf19.1853	1	0	0	0
orf19.1857	1	0	1	0
orf19.1862	1	0	0	0
orf19.1865	1	0	0	0
orf19.1866	1	0	0	0
orf19.1871	1	0	0	0
orf19.1878	1	0	0	0
orf19.1881	1	0	0	0
orf19.1883	1	0	0	0
orf19.1885	1	0	0	0
orf19.1886	1	0	0	0
orf19.1887	1	0	0	0
orf19.1890	1	0	0	0
orf19.1891	1	0	0	0
orf19.1896	1	0	0	0
orf19.1901	1	0	0	0
orf19.1902	1	0	0	0
orf19.1910	1	0	0	0
orf19.1911	1	0	0	0
orf19.1915	1	0	0	0
orf19.1923	1	0	0	0
orf19.1936	1	0	0	0
orf19.1940	1	0	0	0
orf19.1941	1	0	0	0
orf19.1945	1	0	0	0
orf19.1946	1	0	0	0
orf19.1949	1	0	0	0
orf19.1953	1	0	0	0
orf19.1954	1	0	0	0
orf19.1960	1	0	0	0
orf19.1966	1	0	0	0
orf19.1970	1	0	0	0
orf19.1975	1	0	0	0
orf19.1977	1	0	0	0
orf19.1978	1	0	0	0
orf19.1979	1	0	0	0
orf19.1980	1	0	0	0
orf19.1984	1	0	0	0
orf19.1986	1	0	0	0
orf19.1988	1	0	0	0
orf19.1989	1	0	0	0
orf19.1991	1	0	0	0
orf19.1995	1	0	0	0
orf19.2002	1	0	0	0
orf19.2003	1	0	0	0
orf19.2006	1	0	0	0
orf19.2007	1	0	0	0
orf19.2008	1	0	0	0
orf19.2013	1	0	0	0
orf19.2016	1	0	0	0
orf19.2019	1	0	0	0
orf19.202	1	0	0	1
orf19.2028	1	0	0	0
orf19.2029	1	0	0	0
orf19.203	1	0	0	0
orf19.2031	1	0	0	0
orf19.2040	1	0	0	0
orf19.2041	1	0	0	0
orf19.2043	1	0	0	0
orf19.2045	1	0	0	0
orf19.2046	1	0	0	0
orf19.2050	1	0	0	0
orf19.2055	1	0	0	0
orf19.2059	1	0	0	0
orf19.2060	1	0	0	0
orf19.2064	1	0	0	0
orf19.2065	1	0	0	0
orf19.2067	1	0	0	0
orf19.2072	1	0	0	0
orf19.2073	1	0	0	0
orf19.2075	1	0	1	0
orf19.2077	1	0	0	0
orf19.2084	1	0	0	0
orf19.2090	1	0	0	0
orf19.2092	1	0	0	0
orf19.2093	1	0	0	0
orf19.2094	1	0	0	0
orf19.2095	1	0	0	0
orf19.2098	1	0	0	0
orf19.2104	1	0	0	0
orf19.2105	1	0	1	0
orf19.2106	1	0	0	0
orf19.2107	1	0	0	0
orf19.211	1	0	0	0
orf19.2112	1	0	0	0
orf19.2113	1	0	0	0
orf19.2114	1	0	0	0
orf19.2115	1	0	0	0
orf19.2116	1	0	0	0
orf19.2117	1	0	0	0
orf19.212	1	0	1	0
orf19.2124	1	0	0	0
orf19.213	1	0	0	0
orf19.2131	1	0	0	0
orf19.2133	1	0	0	1
orf19.2137	1	0	0	0
orf19.2138	1	0	0	1
orf19.2143	1	0	0	0
orf19.2146	1	0	0	0
orf19.2149	1	0	0	0
orf19.2151	1	0	0	0
orf19.2157	1	0	0	1
orf19.2158	1	0	0	0
orf19.216	1	0	0	0
orf19.2160	1	0	0	0
orf19.2166	1	0	0	0
orf19.2170	1	0	0	0
orf19.2172	1	0	0	0
orf19.2175	1	0	0	0
orf19.2179	1	0	0	0
orf19.2182	1	0	0	0
orf19.2183	1	0	0	0
orf19.2186	1	0	0	0
orf19.2187	1	0	0	0
orf19.2192	1	0	0	0
orf19.2193	1	0	0	0
orf19.2194	1	0	0	0
orf19.2197	1	0	0	0
orf19.2198	1	0	0	0
orf19.2199	1	0	0	0
orf19.2209	1	0	0	0
orf19.2214	1	0	0	0
orf19.2215	1	0	0	0
orf19.2216	1	0	0	0
orf19.2217	1	0	1	1
orf19.2230	1	0	0	0
orf19.2233	1	0	0	0
orf19.2238	1	0	0	0
orf19.2241	1	0	0	0
orf19.2242	1	0	0	0
orf19.2246	1	0	0	0
orf19.2248	1	0	0	0
orf19.2251	1	0	0	0
orf19.2260	1	0	0	0
orf19.2264	1	0	0	0
orf19.2266	1	0	0	0
orf19.2267	1	0	0	0
orf19.2269	1	0	0	0
orf19.2275	1	0	0	0
