Homann	Mitchell	Noble	GRACE
orf19.454	orf19.6817	orf19.113	orf19.5507
orf19.921	orf19.3809	orf19.118	orf19.4194
orf19.1069	orf19.7247	orf19.260	orf19.665
orf19.1253	orf19.1141	orf19.278	orf19.2884
orf19.1499	orf19.4433	orf19.287	orf19.2314
orf19.2646	orf19.5908	orf19.376	orf19.275
orf19.2647	orf19.715	orf19.380	orf19.1199
orf19.2730	orf19.12215	orf19.570	orf19.3243
orf19.2748	orf19.12786	orf19.716	orf19.1221
orf19.3188	orf19.4972	orf19.762	orf19.6217
orf19.3190	orf19.173	orf19.899	orf19.7041
orf19.3305	orf19.4125	orf19.931	orf19.6820
orf19.3308	orf19.4766	orf19.936	orf19.5531
orf19.3434	orf19.3187	orf19.993	orf19.2002
orf19.3753	orf19.3986	orf19.1002	orf19.2712
orf19.3809	orf19.668	orf19.1049	orf19.7291
orf19.3876	orf19.5026	orf19.1162	orf19.6026
orf19.3912	orf19.467	orf19.1171	orf19.767
orf19.3928	orf19.4318	orf19.1239	orf19.1031
orf19.3969	orf19.7359	orf19.1345	orf19.6199
orf19.4000	orf19.723	orf19.1365	orf19.5901
orf19.4056	orf19.7518	orf19.1449	orf19.6716
orf19.4145	orf19.2745	orf19.1502	orf19.3001
orf19.4166	orf19.7583	orf19.1586	orf19.6151
orf19.4225	orf19.5729	orf19.1625	orf19.274
orf19.4251	orf19.757	orf19.1634	orf19.5360
orf19.4288	orf19.3127	orf19.1710	orf19.759
orf19.4438	orf19.4568	orf19.1797	orf19.6862
orf19.4450	orf19.1135	orf19.1860	orf19.1815
orf19.4524	orf19.1187	orf19.2108	orf19.5013
orf19.4568	orf19.5548	orf19.2133	orf19.2937
orf19.4662	orf19.3308	orf19.2156	orf19.7234
orf19.4670	orf19.2647	orf19.2157	orf19.5912
orf19.4722	orf19.6182	orf19.2217	orf19.4427
orf19.4778	orf19.431	orf19.2281	orf19.7119
orf19.4853	orf19.7318	orf19.2282	orf19.1387
orf19.4941	orf19.538	orf19.2284	orf19.1975
orf19.4972	orf19.1497	orf19.2429	orf19.6860
orf19.5001	orf19.1255	orf19.2461	orf19.2835
orf19.5026	orf19.3305	orf19.2463	orf19.3593
orf19.5097	orf19.4573	orf19.2500	orf19.1295
