YSD	Medium	length	diameter	septum	MI
89	dextrose	56.727	35.384	10.63	0.481625229
89	dextrose	61.984	48.662	12.042	0.315208785
89	dextrose	48.301	44.102	11.705	0.290677202
89	dextrose	42.059	34	10.63	0.386753607
89	dextrose	54.406	41.881	8.485	0.263187075
89	dextrose	51.662	38.601	7.81	0.270785333
89	dextrose	42.579	37.363	13	0.396511082
89	dextrose	49	42.012	12.042	0.334308939
89	dextrose	45.891	36.346	9.22	0.320291341
89	dextrose	42.438	33.838	9.849	0.365037662
89	dextrose	45.222	33.601	14.318	0.573492468
89	dextrose	54.644	43.278	10.63	0.310128288
89	dextrose	56.462	39	12.53	0.46513403
89	dextrose	41.049	32.202	8.485	0.335883552
89	dextrose	51.264	44.721	13.928	0.357008237
89	dextrose	46.39	34.525	9.434	0.367157894
89	dextrose	46.174	33.526	12.083	0.496373734
89	dextrose	49.244	38.833	9.22	0.301080313
89	dextrose	59.682	45.277	10	0.291130752
89	dextrose	47.17	38.053	9.055	0.294969104
89	dextrose	53.907	45	8.944	0.238095905
89	dextrose	59.933	46.519	11.662	0.322981996
89	dextrose	49.396	38.626	10.77	0.356572637
89	dextrose	57.94	44.011	10.817	0.323565976
89	dextrose	59.506	43.382	10.77	0.340531523
89	dextrose	45.044	38.118	9.055	0.280714724
89	dextrose	55.946	46.53	12.207	0.315436453
89	dextrose	52.479	41.617	10	0.303000964
89	dextrose	57.385	49.769	15.232	0.352888485
89	dextrose	49.01	42.012	12	0.333210927
89	dextrose	53.759	39.408	10.817	0.374446023
89	dextrose	52.924	43.081	10.63	0.303119848
89	dextrose	44.407	35	7.071	0.256328079
89	dextrose	58.669	44.721	13.038	0.382469361
89	dextrose	55.866	44.598	11.314	0.317784701
89	dextrose	56.269	43.186	11.662	0.351848961
89	dextrose	53.226	42.942	15	0.43296277
89	dextrose	55.036	47.413	9.849	0.241126048
89	dextrose	40.447	33.136	8	0.294697288
89	dextrose	48.374	40.249	7.81	0.233213048
89	dextrose	53.712	46.141	12.207	0.307968476
89	dextrose	43.909	37.736	9.22	0.284297304
89	dextrose	47.539	42.45	11.402	0.300798516
89	dextrose	48.918	41.4	11.402	0.325423601
89	dextrose	52.202	40.817	8.944	0.280244288
89	dextrose	37.483	30.594	7	0.280323727
89	dextrose	46.573	35.44	6	0.222483618
89	dextrose	47.011	40.804	11.402	0.321940081
89	dextrose	45.541	34.482	10.77	0.412508946
89	dextrose	46.957	38.275	8.944	0.286682864
89	dextrose	48.374	37.121	13	0.456368876
89	dextrose	50.606	42.638	14.866	0.413811437
89	dextrose	42.379	33.242	8.246	0.316242143
89	dextrose	54.12	42.942	13.892	0.407716256
89	dextrose	50.99	41.037	12.806	0.387745977
89	dextrose	43.417	35.847	7.211	0.243640608
89	dextrose	47.927	38.079	9.849	0.325537717
89	dextrose	52.393	40.522	9.055	0.288921577
89	dextrose	50.922	44.922	15.811	0.398975864
89	dextrose	60.465	45.793	12.042	0.347219804
89	dextrose	61.716	49.822	13.499	0.335627125
89	dextrose	49.212	36.962	11.47	0.413164984
89	dextrose	49.554	39.576	8.485	0.268452077
89	dextrose	42.594	36.326	5.375	0.173496907
89	dextrose	52.932	43.533	11.795	0.329442068
89	dextrose	51.437	41.526	9.428	0.281225699
89	dextrose	68.212	51.264	10.75	0.279025739
89	dextrose	40.094	34.884	11.795	0.388619667
89	dextrose	49.062	39.699	9.615	0.29931977
89	dextrose	52.936	41.788	8.969	0.27188921
89	dextrose	57.428	43.012	8.485	0.26338817
89	dextrose	51.865	41.629	14.56	0.435756426
89	dextrose	39.051	33.601	9.434	0.326304923
89	dextrose	51.884	38.079	8.944	0.320032565
89	dextrose	50.249	45.793	15.811	0.378868562
89	dextrose	48.847	38.013	9.22	0.311676836
89	dextrose	53.907	43.417	8.062	0.230551703
89	dextrose	63.6	45.607	12.042	0.368207582
89	dextrose	45	36	12	0.416666667
89	dextrose	57.775	45.695	10.296	0.284886011
89	dextrose	45.651	35.847	10.44	0.370890033
89	dextrose	47.76	40.719	19.925	0.573942573
89	dextrose	52.953	38.833	13.601	0.477594729
89	dextrose	53.31	43.382	11.402	0.322976244
89	dextrose	47.413	35.847	8.602	0.31738854
89	dextrose	50.636	37.216	12	0.438713755
89	dextrose	51.43	40.311	6.083	0.192525029
89	dextrose	54.12	43.417	11.662	0.334819853
89	dextrose	49.092	41.4	8.944	0.256178002
89	dextrose	46.872	40.817	9.22	0.259395384
89	dextrose	63.6	48.27	16.279	0.444355174
89	dextrose	52.839	39.446	9.22	0.313097479
89	dextrose	55.317	46.69	11.402	0.289328961
89	dextrose	44.102	37.643	12.042	0.374790395
89	dextrose	49.82	42.802	10	0.271941568
89	dextrose	52.086	38.013	10	0.360459699
89	dextrose	45.177	36.359	11.662	0.398535089
89	dextrose	51.624	43.267	8.944	0.246643614
89	dextrose	46.872	36.878	11.18	0.385319128
89	dextrose	51.4	45	8.602	0.218342123
89	maltose	53.74	40.311	13.601	0.449801976
89	maltose	40.262	23.087	6.708	0.506702903
89	maltose	42.012	33.015	7	0.269804254
89	maltose	44.721	32.28	8	0.343347936
89	maltose	38.897	33.615	5.099	0.175523345
89	maltose	37.443	28.302	6.708	0.313566341
89	maltose	32.062	24.083	5	0.276400894
89	maltose	40.311	32.757	8.062	0.302871302
89	maltose	51.078	34.482	7.616	0.327171846
89	maltose	32.202	21.095	5	0.361821017
89	maltose	42.426	33.734	6	0.22369056
89	maltose	39.825	26.173	4.123	0.23969673
89	maltose	44.102	32.14	8	0.34155176
89	maltose	44.643	37.696	7.28	0.228714771
89	maltose	38.419	25.495	7.81	0.461622595
89	maltose	39.623	27.659	6	0.310760389
89	maltose	40.162	29.967	5.385	0.240832173
89	maltose	57.219	40.311	10	0.352121967
89	maltose	40.817	28.018	6.708	0.348786666
89	maltose	34.205	32.202	6.403	0.211206561
89	maltose	45.651	30.48	5.831	0.286525587
89	maltose	42.059	35.847	4.472	0.146371022
89	maltose	44.721	34.132	7.211	0.276811117
89	maltose	47.76	34.438	10.77	0.433714736
89	maltose	42	31.016	5	0.218296976
89	maltose	47.297	38.897	11.18	0.349496785
89	maltose	53.151	39.319	9.22	0.316984067
89	maltose	43.324	33.106	7.616	0.301052377
89	maltose	55.471	41.773	17.493	0.556082156
89	maltose	43.29	29.275	5	0.252559543
89	maltose	46.098	33.941	5.385	0.215485734
89	maltose	44.598	37.014	10.817	0.352119577
89	maltose	43.417	28.16	8.246	0.451479298
89	maltose	41.881	33.242	7.071	0.267993086
89	maltose	45.274	37.268	18.196	0.593133729
89	maltose	48.721	37.547	10.349	0.357654831
89	maltose	45.068	35.302	13.744	0.497030238
89	maltose	57.72	41.596	12.684	0.423135455
89	maltose	41.575	30.991	5.375	0.232669548
89	maltose	44.081	34.026	8.692	0.330940075
89	maltose	46.438	33.5	15.563	0.643987163
89	maltose	44.507	27.406	6.799	0.402885888
89	maltose	44.487	33.099	9.286	0.377078745
89	maltose	50.089	32.931	8.028	0.370800138
89	maltose	42.164	32.558	8.028	0.319325596
89	maltose	48.831	28.844	6.667	0.391304732
89	maltose	44.322	32.51	6.7	0.280970169
89	maltose	47.446	38.378	8.246	0.265630695
89	maltose	42.005	30.696	6.146	0.27398701
89	maltose	41.655	26.55	5.207	0.307698703
89	maltose	44.949	34.673	19.067	0.712885139
89	maltose	42.921	28.503	7.333	0.387409594
89	maltose	42.132	26.8	8.433	0.494680268
89	maltose	44.086	33.797	7.775	0.300085348
89	maltose	41.382	30	7.333	0.33717134
89	maltose	38.759	26.8	7.333	0.395716957
89	maltose	34.577	22.281	5.375	0.374366019
